tick,timestamp_ms,mspt,cpu_temp_c,cpu_freq_mhz,cpu_power_w
425,1782044834812,20.922,79.0,2800.0,19.58
426,1782044834860,19.011,83.0,2300.0,20.14
427,1782044834912,21.207,81.0,2800.1,20.14
428,1782044834959,18.268,82.0,2800.0,16.43
429,1782044835010,19.207,84.0,2799.9,16.43
430,1782044835063,22.116,84.0,2800.0,17.58
431,1782044835110,18.955,83.0,2799.8,17.58
432,1782044835159,18.545,84.0,2800.1,16.91
433,1782044835211,19.922,79.0,2800.5,16.91
434,1782044835261,19.830,82.0,2550.0,16.93
435,1782044835311,20.488,83.0,2799.7,16.93
436,1782044835361,20.351,84.0,2800.0,17.42
437,1782044835410,19.549,85.0,2801.0,17.42
438,1782044835460,19.365,83.0,2799.8,17.61
439,1782044835512,20.910,81.0,2800.1,17.61
440,1782044835561,20.547,84.0,2550.4,17.66
441,1782044835612,21.070,84.0,2800.0,17.66
442,1782044835664,23.268,86.0,2801.4,17.42
443,1782044835712,20.784,84.0,2799.9,17.42
444,1782044835760,19.262,82.0,2799.0,17.96
445,1782044835811,20.249,84.0,2800.1,17.96
446,1782044835863,21.869,84.0,2800.0,17.84
447,1782044835912,20.960,85.0,2550.1,17.84
448,1782044835961,20.041,86.0,2800.2,17.54
449,1782044836012,20.726,82.0,2799.9,17.54
450,1782044836063,22.556,84.0,2800.0,17.95
451,1782044836112,21.019,85.0,2800.2,17.95
452,1782044836162,21.068,85.0,2799.9,17.24
453,1782044836215,24.302,86.0,2799.7,17.24
454,1782044836260,18.920,86.0,2550.0,17.72
455,1782044836315,23.899,81.0,2799.9,17.72
456,1782044836361,20.197,80.0,2799.6,17.25
457,1782044836411,20.081,83.0,2800.0,17.25
458,1782044836461,19.808,83.0,2799.9,17.86
459,1782044836512,21.386,81.0,2801.0,17.86
460,1782044836561,20.308,82.0,2799.9,17.81
461,1782044836610,19.416,83.0,2300.0,17.81
462,1782044836662,21.602,81.0,2800.2,17.42
463,1782044836712,21.300,82.0,2299.6,17.42
464,1782044836768,26.944,81.0,2800.5,18.99
465,1782044836812,21.693,82.0,2800.0,18.99
466,1782044836860,19.641,82.0,2799.9,20.76
467,1782044836911,19.807,82.0,2800.0,20.76
468,1782044836960,18.765,83.0,2800.0,16.88
469,1782044837011,20.699,80.0,2799.8,16.88
470,1782044837060,19.153,80.0,2550.3,17.65
471,1782044837110,19.028,82.0,2801.1,17.65
472,1782044837162,21.204,82.0,2798.8,17.11
473,1782044837209,18.692,84.0,2800.0,17.11
474,1782044837263,22.023,83.0,2800.1,17.92
475,1782044837314,23.186,84.0,2800.5,17.92
476,1782044837361,19.836,81.0,2800.0,18.87
477,1782044837412,21.340,83.0,2799.9,18.87
478,1782044837461,20.512,83.0,2300.4,16.66
479,1782044837510,19.449,79.0,2799.6,16.66
480,1782044837562,20.805,81.0,2799.9,18.07
481,1782044837610,18.764,83.0,2800.0,18.07
482,1782044837663,22.512,82.0,2800.1,21.00
483,1782044837712,20.737,83.0,2800.0,21.00
484,1782044837760,19.337,83.0,2807.0,18.92
485,1782044837812,20.890,83.0,2799.9,18.92
486,1782044837861,20.182,81.0,2800.5,19.96
487,1782044837913,21.926,82.0,2800.6,19.96
488,1782044837962,21.191,83.0,2800.2,17.49
489,1782044838011,20.554,82.0,2800.4,17.49
490,1782044838064,23.070,83.0,2799.6,18.54
491,1782044838111,20.510,84.0,2800.0,18.54
492,1782044838163,21.985,84.0,2799.1,20.73
